A,对称博弈,500
B,基础构造练习题,700
C,区间问题 xor,700
D,区间问题 XOR,1000
E,区间问题 max,1500
F,区间问题 gcd,2000
G,国家的扩张，城市的划分,2400
H,【模板】多项式乘法,2500
zlj6699tt,A,106000,0,Runtime Error
袁瑞擎,A,147000,20,Wrong Answer
wuxian,A,164000,20,Wrong Answer
lyxhsx,A,178000,50,Wrong Answer
qwqwq,A,180000,20,Wrong Answer
wmyr,A,194000,20,Runtime Error
kqshengxuanyi,A,200000,50,Wrong Answer
huangweiliang,A,203000,20,Wrong Answer
ywz,A,203000,100,Accepted
tiaotiao2011,A,203000,100,Accepted
fangzichang,A,204000,100,Accepted
HL_CZY,A,207000,20,Wrong Answer
wmyr,A,210000,50,Wrong Answer
leiyuhao,A,212000,0,Compile Error
PhirainEX,A,213000,50,Wrong Answer
杨育安,A,216000,20,Wrong Answer
hank0402,A,218000,20,Wrong Answer
zhangchengrui,A,219000,0,Wrong Answer
高兴的高,A,227000,20,Wrong Answer
HBYoutze,A,230000,30,Runtime Error
QAQfj5,A,231000,50,Wrong Answer
leiyuhao,A,239000,0,Compile Error
HBYoutze,A,246000,50,Wrong Answer
_FJqwq,A,251000,100,Accepted
leiyuhao,A,253000,0,Wrong Answer
肖皓天,A,259000,50,Runtime Error
sunjunhao,A,260000,50,Wrong Answer
刘添乐,A,261000,20,Wrong Answer
qhj,A,261000,50,Wrong Answer
lyxhsx,A,272000,100,Accepted
hank0402,A,272000,20,Wrong Answer
QAQfj5,A,285000,50,Wrong Answer
wtxwd,A,286000,50,Wrong Answer
leiyuhao,A,295000,0,Wrong Answer
yyz,A,302000,20,Wrong Answer
QZ1Z-CQR,A,307000,50,Wrong Answer
cpz0342,A,308000,50,Wrong Answer
hepeidong,A,313000,50,Wrong Answer
zhengjinyi,A,313000,50,Wrong Answer
nyyjshcz,A,325000,0,Wrong Answer
hexuben,A,330000,20,Wrong Answer
kqshengxuanyi,A,333000,100,Accepted
HBYoutze,A,335000,100,Accepted
qhj,A,337000,100,Accepted
xyh,A,337000,50,Wrong Answer
linmou,A,338000,50,Wrong Answer
何楷文,A,339000,20,Wrong Answer
PhirainEX,A,346000,50,Wrong Answer
markding,A,348000,50,Wrong Answer
legendcn,A,358000,20,Wrong Answer
susieli,A,360000,100,Accepted
leiyuhao,A,364000,20,Wrong Answer
ljy_xc,A,365000,20,Wrong Answer
hexuben,A,366000,50,Wrong Answer
maguangxian,A,368000,100,Accepted
Nihachu,A,371000,50,Wrong Answer
hepeidong,A,372000,50,Wrong Answer
docxjun,A,379000,100,Accepted
PhirainEX,A,384000,50,Wrong Answer
luyuyang,A,385000,100,Accepted
hepeidong,A,385000,100,Accepted
zhangchengrui,A,386000,0,Wrong Answer
强强,A,391000,50,Wrong Answer
sunjunhao,A,408000,100,Accepted
qwqwq,A,412000,100,Accepted
zhangce,A,416000,50,Wrong Answer
zhangzihan_Yuuki Asuna,A,420000,0,Runtime Error
songzhihan,A,421000,50,Wrong Answer
linmou,A,428000,50,Wrong Answer
